scope	bundled_path_pattern	project_origin	license_scope	redistribution_status	release_note
TransVAE project tables	data/raw/transvae/*.csv	Generated by the tomato promoter TransVAE modeling workflow	Project-generated research resources; see RESOURCE_LICENSES.md	Bundled for reproducibility	Retain file-level provenance and generating-script information in release metadata.
TransVAE BLAST support tables	data/raw/transvae/blast_result.txt and data/raw/transvae/sequences_with_id.csv	Generated by the project similarity-assessment workflow	Project-generated research resources; see RESOURCE_LICENSES.md	Bundled for reproducibility	Used only for optional similarity assessment and retained result reconstruction.
TransVAE figure support assets	data/raw/transvae/blast/*.png and data/raw/transvae/diversity/*.png	Generated by project analysis workflows	Project-generated research resources; see RESOURCE_LICENSES.md	Bundled for reproducibility	Prefer script-regenerated figures for publication outputs.
preGAN expression-constraint resources	data/raw/pregan_expression/* and models/pregan_expression/*	Generated by the project scalar-expression constraint workflow	Project-generated software and model resources; see RESOURCE_LICENSES.md	Bundled for preGAN smoke testing	The checkpoint requires the bundled SeqRegressionModel.py definition and is not exposed as a standalone public mechanism.
preGAN smoke data	data/raw/pregan_expression/pregan_smoke.csv	Small subset derived from the project masked-promoter training table	Project-generated training-plumbing resource; see RESOURCE_LICENSES.md	Bundled for smoke testing	Used only to validate realA/realB/expr mask semantics and training-code plumbing, not as a full training corpus.
DNABERT support inputs	data/raw/dnabert/dev.tsv and data/raw/dnabert/atten.npy	Generated by TPSGen project processing with DNABERT-based methods	Derived-method resource; DNABERT attribution required	Bundled for historical motif post-processing	These are precomputed sequence and attention inputs; fresh FASTA inference uses the separate bundled checkpoint under models/dnabert/.
DNABERT TFBS logo assets	data/raw/dnabert/tfbs_assets/*.png	Generated by TPSGen DNABERT-derived motif processing	Derived-method resource; DNABERT attribution required	Bundled for historical figure reconstruction	Retain DNABERT method attribution with derived motif outputs; not required by the default run command.
Processed DNABERT outputs	data/processed/dnabert_legacy/*	Generated by TPSGen from project DNABERT-derived inputs	Project-generated outputs with DNABERT method attribution	Bundled for historical reproducibility	Generated by the documented attention-to-motif post-processing route; not required by the default run command.
Package demo outputs	data/results/demo/*	Generated by TPSGen from the bundled example FASTA	Repository MIT license	Bundled	Regenerated by make demo.
Package figure outputs	data/results/figures_*/*	Generated by TPSGen from repository tables	Repository MIT license	Bundled	Suitable for package demonstrations and documentation.
Bundled TransVAE checkpoint	models/transvae/best_val_corr_model.pth	Generated by the project TransVAE training workflow	Project-generated model resource; see RESOURCE_LICENSES.md	Bundled in repository and wheel	Checksum is recorded in models/weights_manifest.json.
Retained manuscript result pack	data/results/reproducible_legacy/*	Generated by project analysis and result-reconstruction workflows	Project-generated result resources; see RESOURCE_LICENSES.md	Bundled for manuscript reproducibility	Regenerated by make reproduce-results; directory name is retained for backward compatibility.
Large optional artifacts	data/external/external_resources.tsv	Project-controlled or third-party resources documented individually	Resource-specific	Not bundled by default	Distribute separately with checksums, source metadata and applicable terms.
